number,symbol,name,atomic_mass,atomic_radii(pm),Protons,Electrons,Neutrons,Oxi. States,electron_configuration_semantic,phase,ionization_energies,electron_affinity,electronegativity_pauling,melt,boil,density,discovered_by
61,Pm,Promethium,145,205,61,61,84,3,[Xe] 4f5 6s2,Solid,540,12.45,1.13,1315,3273,7.26,Chien Shiung Wu
62,Sm,Samarium,150.362,238,62,62,88,"+2, +3",[Xe] 4f6 6s2,Solid,544.5,15.63,1.17,1345,2173,7.52,Lecoq de Boisbaudran
63,Eu,Europium,151.9641,231,63,63,89,"+2, +3",[Xe] 4f7 6s2,Solid,547.1,11.2,1.2,1099,1802,5.264,Eugène-Anatole Demarçay
64,Gd,Gadolinium,157.253,233,64,64,93,3,[Xe] 4f7 5d1 6s2,Solid,593.4,13.22,1.2,1585,3273,7.9,Jean Charles Galissard de Marignac
65,Tb,Terbium,158.925352,225,65,65,94,"+3, +4",[Xe] 4f9 6s2,Solid,565.8,112.4,1.1,1629,3396,8.23,Carl Gustaf Mosander
66,Dy,Dysprosium,162.5001,228,66,66,97,3,[Xe] 4f10 6s2,Solid,573,33.96,1.22,1680,2840,8.54,Lecoq de Boisbaudran
67,Ho,Holmium,164.930332,226,67,67,98,3,[Xe] 4f11 6s2,Solid,581,32.61,1.23,1734,2873,8.79,Marc Delafontaine
68,Er,Erbium,167.2593,226,68,68,99,3,[Xe] 4f12 6s2,Solid,589.3,30.1,1.24,1802,3141,9.066,Carl Gustaf Mosander
69,Tm,Thulium,168.934222,222,69,69,100,3,[Xe] 4f13 6s2,Solid,596.7,99,1.25,1818,2223,9.32,Per Teodor Cleve
70,Yb,Ytterbium,173.0451,222,70,70,103,"+2, +3",[Xe] 4f14 6s2,Solid,603.4,-1.93,1.1,1097,1469,6.9,Jean Charles Galissard de Marignac
71,Lu,Lutetium,174.96681,217,71,71,104,3,[Xe] 4f14 5d1 6s2,Solid,523.5,33.4,1.27,1925,3675,9.841,Georges Urbain
72,Hf,Hafnium,178.492,208,72,72,106,4,[Xe] 4f14 5d2 6s2,Solid,658.5,17.18,1.3,2506,4876,13.31,Dirk Coster
